entity,entity_type,candidates_scored,published_lexicon_candidates,population_reproduces_published,krippendorff_alpha_over_methods,all_taggers_abstained,confirmed_by_all,confirmed_by_none,confirm_rate::hf:shibing624/bert4ner-base-chinese,confirm_rate::hf:uer/roberta-base-finetuned-cluener2020-chinese
中文,LANGUAGE_OR_DIALECT_REFERENCE,273,267,False,,273,0,0,,
上海,PLACE,191,174,False,0.465075,0,138,21,0.842932,0.769634
巴黎,PLACE,131,130,False,0.024038,0,83,6,0.954198,0.633588
天津,PLACE,77,61,False,0.157798,0,41,9,0.87013,0.545455
杭州,PLACE,72,66,False,0.306023,0,48,7,0.902778,0.666667
新疆,PLACE,57,57,True,-0.056865,0,28,4,0.929825,0.491228
英文,LANGUAGE_OR_DIALECT_REFERENCE,43,42,False,,43,0,0,,
台北,PLACE,34,34,True,0.621469,0,28,3,0.911765,0.823529
香港,PLACE,33,32,False,-0.12069,0,25,0,1.0,0.757576
加州,PLACE,29,29,True,-0.117647,0,22,0,1.0,0.758621
加勒比,PLACE,29,29,True,-0.266667,0,12,1,0.931034,0.448276
潘玮柏,PERSON_REFERENCE,25,25,True,0.0,0,24,0,0.96,1.0
湖南,PLACE,25,25,True,0.02,0,4,9,0.64,0.16
深圳,PLACE,23,23,True,-0.046512,0,20,0,1.0,0.869565
伦敦,PLACE,22,22,True,-0.194444,0,14,0,1.0,0.636364
太平洋,PLACE,18,18,True,-0.842105,0,1,0,1.0,0.055556
昆明,PLACE,15,15,True,0.304,0,11,1,0.933333,0.733333
加拿大,PLACE,14,14,True,-0.35,0,6,0,1.0,0.428571
日本,PLACE,13,11,False,-0.666667,0,2,0,1.0,0.153846
黄浦江,PLACE,10,9,False,0.627451,0,8,1,0.9,0.8
非洲,PLACE,8,8,True,-0.5,0,2,0,1.0,0.25
万妮达,PERSON_REFERENCE,7,7,True,-0.083333,0,5,0,1.0,0.714286
