dimension,denominator_definition,stage_order,stage,value,unit,meaning,source
entity_inventory,unique entity strings,1,corpuswide_candidates,33,entities,Corpus-wide provisional inventory before shared-text exclusion.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
entity_inventory,unique entity strings,2,all_labels_after_shared_text_exclusion,23,entities,All-label sensitivity inventory after cross-label exact shared-text exclusion.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
entity_inventory,unique entity strings,3,fixed_204_label_primary_universe,22,entities,Primary release inventory in the fixed 204-label universe.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
label_reference_links,source-label/entity pairs,1,legacy_basic_gate_shared_text_included,85,pairs,Legacy all-label support/lift gate before shared-text exclusion.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
label_reference_links,source-label/entity pairs,2,shared_text_excluded_legacy_gate,40,pairs,Candidate pairs after shared-text exclusion with legacy gates retained for sensitivity.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
label_reference_links,source-label/entity pairs,3,uncertainty_and_bh_fdr_release,6,pairs,"Released pairs after shrinkage, conservative intervals, and BH-FDR.",outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
co_mentions_legacy_denominator,entity-bearing songs only (legacy sensitivity; not comparable to primary release),1,shared_text_included_legacy_gate,9,entity pairs,Legacy before-exclusion sensitivity count under the entity-bearing denominator.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
co_mentions_legacy_denominator,entity-bearing songs only (legacy sensitivity; not comparable to primary release),2,shared_text_excluded_legacy_gate,1,entity pairs,Legacy after-exclusion sensitivity count under the entity-bearing denominator.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
co_mentions_corrected_denominator,"all 5,681 eligible shared-text-excluded song units",1,basic_gate,5,entity pairs,Primary-universe candidates under the corrected all-song denominator.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
co_mentions_corrected_denominator,"all 5,681 eligible shared-text-excluded song units",2,bh_fdr_release,4,entity pairs,Released same-song co-mentions after BH-FDR.,outputs/chinese-rap-ner-cultural-graph-v1/release_sensitivity_summary.csv
