k,space,purity
1,semantic,0.102
2,semantic,0.0798
3,semantic,0.0682
4,semantic,0.0601
5,semantic,0.0552
6,semantic,0.0513
7,semantic,0.0483
8,semantic,0.0453
9,semantic,0.043
10,semantic,0.0411
11,semantic,0.0394
12,semantic,0.038
13,semantic,0.0366
14,semantic,0.0355
15,semantic,0.0348
16,semantic,0.034
17,semantic,0.0331
18,semantic,0.0322
19,semantic,0.0315
20,semantic,0.031
1,lexical,0.1972
2,lexical,0.1759
3,lexical,0.1629
4,lexical,0.153
5,lexical,0.1452
6,lexical,0.1393
7,lexical,0.1334
8,lexical,0.1283
9,lexical,0.1243
10,lexical,0.1205
11,lexical,0.1165
12,lexical,0.1132
13,lexical,0.1103
14,lexical,0.1074
15,lexical,0.1048
16,lexical,0.1023
17,lexical,0.0999
18,lexical,0.0976
19,lexical,0.0956
20,lexical,0.0937
1,semantic_whitened,0.2812
2,semantic_whitened,0.2383
3,semantic_whitened,0.2126
4,semantic_whitened,0.1966
5,semantic_whitened,0.1829
6,semantic_whitened,0.1724
7,semantic_whitened,0.1625
8,semantic_whitened,0.1532
9,semantic_whitened,0.1458
10,semantic_whitened,0.1389
11,semantic_whitened,0.1329
12,semantic_whitened,0.1277
13,semantic_whitened,0.1228
14,semantic_whitened,0.1183
15,semantic_whitened,0.1142
16,semantic_whitened,0.1108
17,semantic_whitened,0.1075
18,semantic_whitened,0.1044
19,semantic_whitened,0.1015
20,semantic_whitened,0.0987
1,chance,0.0053
2,chance,0.0053
3,chance,0.0053
4,chance,0.0053
5,chance,0.0053
6,chance,0.0053
7,chance,0.0053
8,chance,0.0053
9,chance,0.0053
10,chance,0.0053
11,chance,0.0053
12,chance,0.0053
13,chance,0.0053
14,chance,0.0053
15,chance,0.0053
16,chance,0.0053
17,chance,0.0053
18,chance,0.0053
19,chance,0.0053
20,chance,0.0053
