written_rhyme_family,released_count,released_share,counterfactual_count,counterfactual_share,counterfactual_minus_released_share
A,18960,0.06680619860045242,19413,0.06674826966122151,-5.792893923091402e-05
AI,15541,0.054759236943545946,16109,0.055388032554093504,0.0006287956105475584
AN,33916,0.11950416834034516,34834,0.11977073226080409,0.00026656392045892874
ANG,18404,0.06484711387356151,18852,0.06481936741633687,-2.7746457224642196e-05
AO,17203,0.060615349922129906,17644,0.06066586668225375,5.051676012384626e-05
E,18765,0.06611910953256803,19123,0.06575115441876778,-0.00036795511380025014
EI,16046,0.056538621452682465,16581,0.0570109235693975,0.0004723021167150343
EN,14481,0.051024291241199976,14770,0.05078411079669508,-0.00024018044450489773
ENG,16789,0.0591566069780061,17149,0.05896389411323791,-0.00019271286476819222
ER,1759,0.006197895745685433,1790,0.006154607875835084,-4.328786985034923e-05
I,41849,0.14745636103535514,42796,0.14714670315879233,-0.0003096578765628133
IE_VE,8173,0.028797840778560003,8396,0.02886820543324657,7.036465468656869e-05
O,16465,0.05801498206521356,16826,0.05785331403284979,-0.00016166803236377508
ONG,8000,0.028188269451667688,8126,0.02793985675923793,-0.0002484126924297593
OU,18098,0.06376891256703522,18598,0.0639460319970843,0.00017711943004908304
U,13725,0.04836049977801738,14101,0.048483869082207,0.00012336930418961611
V,5632,0.019844541693974052,5731,0.019705060187939032,-0.00013948150603501977
