label_a,label_b,songs_involved_a,songs_total_a,songs_involved_b,songs_total_b,mutual_minimum_share
周士爵,小老虎,81,104,16,33,0.4848
SASIOVERLXRD,jinjibewater,17,46,16,45,0.3556
Regi 陈彦希,Turbo嗣尧,10,24,10,32,0.3125
书生,武生,3,8,3,11,0.2727
王以太,艾热 AIR,12,39,12,44,0.2727
Cayden,TShawn,3,7,3,11,0.2727
KKLUV,那奇沃夫,13,46,13,48,0.2708
万赛文,张愚歌,7,26,7,20,0.2692
Green Soldier,V.O.B.,7,17,7,29,0.2414
jinjibewater,连麻Swimming,11,45,11,47,0.234
秃子,赵山河,10,38,10,45,0.2222
C-Low,张愚歌,9,42,9,20,0.2143
秃子,辉子,8,38,8,36,0.2105
Mengzi,YOUNG,9,30,9,43,0.2093
MULA SAKEE,thomeboydontkill,10,48,10,45,0.2083
Mac Overseas,thomeboydontkill,8,45,8,45,0.1778
YOUNG,谢帝,8,43,8,45,0.1778
C-Low,万赛文,7,42,7,26,0.1667
Bridge,GAI,8,52,8,45,0.1538
Bridge,Vava,8,52,7,46,0.1522
土人儿,孤矢,6,28,6,41,0.1463
MULA SAKEE,Mac Overseas,7,48,7,45,0.1458
土人儿,小酷coola,4,28,4,21,0.1429
Higher Brothers,KnowKnow,6,30,6,43,0.1395
Cayden,DBL.D,2,7,2,15,0.1333
DBL.D,TShawn,2,15,2,11,0.1333
YuGo,龙泽宇,5,37,5,40,0.125
TOYOKI,thomeboydontkill,6,48,6,45,0.125
刘聪 (Key.L),功夫胖,6,49,6,49,0.1224
派克特,艾福杰尼,6,45,6,50,0.12
NOTTIBO1,Rich4ever,5,22,5,42,0.119
KnowKnow,Melo,5,43,5,35,0.1163
Hotkey金朝,许恒PDG,4,37,4,9,0.1081
刘柄鑫,张昊,4,37,4,20,0.1081
Dirty Twinz,Kigga,3,21,3,28,0.1071
SASIOVERLXRD,连麻Swimming,5,46,5,47,0.1064
Ansr J,邓典果,5,35,5,47,0.1064
Mengzi,李尔新,5,30,5,47,0.1064
Mengzi,邓典果,5,30,5,47,0.1064
Higher Brothers,马思唯,5,30,5,48,0.1042
KnowKnow,马思唯,5,43,5,48,0.1042
冲天小火煎,望江晴,2,20,2,20,0.1
Tangoz,派克特,5,50,5,45,0.1
G Sauce,neverkilltheape,4,40,4,23,0.1
JahjahWay,九维,1,2,1,10,0.1
