node_id,node_label,node_type,support_song_units,status
ENT-1ab5e8811caca548e6ff8609,中文,LANGUAGE_OR_DIALECT_REFERENCE,132,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-723b8cc50f4bb202057e798c,上海,PLACE,106,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-c99d15e783d933fcf6a258de,巴黎,PLACE,70,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-f15a8bc263a70282ddd6b9f2,新疆,PLACE,40,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-1efcc53c480b715fc2166b8d,杭州,PLACE,30,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-e0ebd62fb39173005b8b1b47,英文,LANGUAGE_OR_DIALECT_REFERENCE,28,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-5d6d0c112c2750c769e49d87,天津,PLACE,21,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-0f3bb6cbac00c6a8ae58bdeb,台北,PLACE,21,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-9c3cddf04f7d52b0f728e999,深圳,PLACE,19,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-c9cb96225d51aa51441490c1,香港,PLACE,19,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-cad639ff4803440a138d0d6f,加州,PLACE,17,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-8d6ac42b1d236222bb7a21d5,湖南,PLACE,12,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-20af0fa9fd64b0bac4a7423f,伦敦,PLACE,12,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-674e6061184f02c7f30fc476,潘玮柏,PERSON_REFERENCE,11,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-fa504dca8d1f4ef6040ab873,加勒比,PLACE,9,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-b883c14897e2437cf5cf008a,太平洋,PLACE,9,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-95de687109a76247d99cdcc3,加拿大,PLACE,9,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-ca07265f43c6ecebbb27f0a3,日本,PLACE,9,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-934626c009375519ad762911,昆明,PLACE,9,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-368434174b7396b57d77fd69,万妮达,PERSON_REFERENCE,6,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-6b33449612fd78ba32eaca5e,非洲,PLACE,6,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ENT-ecf17c00ce344bd79ba98c2e,黄浦江,PLACE,5,PROVISIONAL_SHARED_TEXT_EXCLUDED_GRAPH_UNIVERSE_NOT_HUMAN_VALIDATED
ALBL-b531a8de7a6d0c34b19b787255885398b63fd4b92d8984404c6d5271f7d268f1,GALI,SOURCE_CREDIT_LABEL,36,SOURCE_LABEL_NOT_INDEPENDENTLY_IDENTITY_VERIFIED
ALBL-1c521aa5918a7c228d52dd39e33749ac1ed6902f61bfed0d6daaa3c3adfc4357,Tangoz,SOURCE_CREDIT_LABEL,38,SOURCE_LABEL_NOT_INDEPENDENTLY_IDENTITY_VERIFIED
ALBL-0fad1a0628b44667e6d7ea5400c1265783ad07b0e8a6f5e211f741bc5456eff8,国蛋,SOURCE_CREDIT_LABEL,36,SOURCE_LABEL_NOT_INDEPENDENTLY_IDENTITY_VERIFIED
ALBL-800378ed0482ee65717309245d95ab4ddd74395ddce9272aa4a50433bad833f6,法老,SOURCE_CREDIT_LABEL,41,SOURCE_LABEL_NOT_INDEPENDENTLY_IDENTITY_VERIFIED
ALBL-2c8bc6640d674fb0494ab3a0352bfacdd7243a34c724124ee036737fd0d39b2d,泰格西,SOURCE_CREDIT_LABEL,25,SOURCE_LABEL_NOT_INDEPENDENTLY_IDENTITY_VERIFIED
ALBL-7ba722009dee968fea666826254e4d7047ee83b9c2b6439061df005b6dfa14bf,黑麦,SOURCE_CREDIT_LABEL,33,SOURCE_LABEL_NOT_INDEPENDENTLY_IDENTITY_VERIFIED
