artist_label_id_a,source_artist_label_a,artist_label_id_b,source_artist_label_b,primary_rank_a_to_b,primary_rank_b_to_a,primary_cosine_similarity,primary_pair_percentile,sensitivity_rank_a_to_b,sensitivity_rank_b_to_a,sensitivity_cosine_similarity,sensitivity_pair_percentile,stable_across_shared_text_exclusion,edge_definition
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,APMOZART,ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,KITO,2,2,0.97055193,91.49521878,2,1,0.96891009,94.30116874,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,APMOZART,ALBL-591263eefafdb52e5702e00434d710421ec77268e1974ea65c6faf003f8b94b8,MULA SAKEE,1,3,0.97427994,96.11706752,1,3,0.97199227,97.14092534,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,APMOZART,ALBL-1f58a6ffe8bece560a2d7cd3f95b1c5fedac73381c77a301c279e6c79036b7f0,离合,3,1,0.96966594,90.06568144,3,1,0.96744432,92.39350913,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-3dab537bbce562a80504255944b4f84168fe4cdfe736c5f5569088ee394644b6,AR,ALBL-c8b292a6fd797d5864b6f98a4ca3145941af864722740d9be02e52bb5e4d4d14,谢帝,1,3,0.98058167,99.55085482,5,1,0.97333197,98.00057954,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b6fb9745908a9283df198b367153a16c8346bc5114b5856f9a7ffb412793e6ef,Ansr J,ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,艾福杰尼,3,4,0.98240607,99.81647832,2,4,0.98019284,99.89858012,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b6fb9745908a9283df198b367153a16c8346bc5114b5856f9a7ffb412793e6ef,Ansr J,ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf,马思唯,1,2,0.98507032,99.97102289,1,3,0.98138029,99.94204578,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-fc83eb0c2b9caf7b6655f612f98b6c57a3a90e33dadb1e65cb5c8eaae604cd5a,Bridge,ALBL-de2120b6e55092ce5c5aa011967ce8dcfffae11ffbb993f47bdf018134f00676,No Fear Family,4,1,0.97841807,98.91818796,3,5,0.97067356,96.16053318,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-851b250b2304762b91768b5123950704538062116628ddfaa11d82ce5c5be520,Busta Z,ALBL-df36480d1c39db0bd7c57e8729258ffe1f0e03d719943c6ade41e38e9f4c0dcd,杀手耗,1,3,0.98057287,99.54119579,1,2,0.97898682,99.77784217,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-3516aca92330ace937d4d66d19489d317129d236c505c76c829d30f582c702ec,C-Block,ALBL-b2a691a1a1df18c00b161abfd5f160861921f76fd419e4a473cba62f11a6bdc2,辛巴,1,1,0.98045720,99.49773013,1,1,0.97850358,99.71022892,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc,CJ BAda$$ (希介),ALBL-2807b98ea33a2a358a5e75262d1634d94c6402340cb7f15b88794a34f694ba24,Korn,4,3,0.97863516,98.98097170,2,3,0.97736587,99.47841205,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
