artist_label_id,x,y,component_id,stable_graph_degree,projection_population,projection_variance_explained_2d,layout_note
ALBL-0261b0368c5af1b8ccdaeccbab00785624e008ac644429d8d84947f16a8e1246,0.21145845,0.44850524,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07,0.02472591,-0.09091326,2,2,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-05fe1effba76833f120b714fd0141df46b7970d83c822c8a91201585ff6bb5ea,0.06511514,-0.67232806,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0828f126ccf0c88bdf414c410611374063d1ab6c756389b0c253efbbab6dcd4d,-0.40662138,0.22602577,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9,-0.36016605,-0.35503858,1,3,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0a1a532fbfe9b4e01ba4d08dc1af1a73c305efb613a891a1b1339cbc2ef41bdc,-0.23441140,0.16893986,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0b0fe4f2cc23badddb1c1ebb33c22cc45c6f41924b2d4b3172d8625fc7f6e4b2,-0.29633494,-0.13486300,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0b85ce543a1bd0918047e0b04b3122ff8c8ac71a59f415e4b7185b7267f32139,-0.10321117,0.05856371,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,0.84000637,-0.33305459,6,3,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0d10d90fcd6f9613167e94880a655155a1e2d6351e228824fcf59988dfbdd8f6,0.04743804,0.11960652,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,-0.86529570,0.12591341,4,4,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-0fad1a0628b44667e6d7ea5400c1265783ad07b0e8a6f5e211f741bc5456eff8,0.08158001,-0.18680399,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
ALBL-1136c276f991eb3cba877aef2044b57a9b940feb6a4d3695540916113c5aafd5,-0.34733444,-0.05071627,0,0,204,0.26195959,"deterministic 2D PCA of consensus primary-plus-sensitivity lyric-repertoire centroids across all eligible labels; near positions approximate semantic proximity, while a retained edge is the stricter stable-neighbour result"
