artist_label_id,source_artist_label,label_attribution_status,clean_song_count,independent_clean_song_count,primary_raw_chunk_count,primary_effective_text_mass,primary_unique_clean_text_count,sensitivity_raw_chunk_count,sensitivity_effective_text_mass,sensitivity_unique_clean_text_count,shared_text_dropped_effective_mass,shared_text_dropped_mass_share,eligible_primary_support,eligible_sensitivity_support,graph_node_eligible,stable_graph_degree
ALBL-df37ba569c01fcedd3d036cd994e4fee82c6f3c0b109cb038bc3ec44302efe17,141,source_artist_label_not_externally_identity_verified,6,6,7,7.00000000,7,7,7.00000000,7,0.00000000,0.00000000,false,false,false,0
ALBL-4ee2de733107bf496cb129ee93841693210261129915ba651cc3fbb0b18de05c,404 Rapper,source_artist_label_not_externally_identity_verified,30,26,50,39.66666667,50,34,34.00000000,34,5.66666667,0.14285714,true,true,true,0
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,APMOZART,source_artist_label_not_externally_identity_verified,48,47,82,80.00000000,82,78,78.00000000,78,2.00000000,0.02500000,true,true,true,3
ALBL-3dab537bbce562a80504255944b4f84168fe4cdfe736c5f5569088ee394644b6,AR,source_artist_label_not_externally_identity_verified,47,41,249,207.91666667,249,179,179.00000000,179,28.91666667,0.13907816,true,true,true,1
ALBL-b6fb9745908a9283df198b367153a16c8346bc5114b5856f9a7ffb412793e6ef,Ansr J,source_artist_label_not_externally_identity_verified,35,28,122,97.36666667,122,81,81.00000000,81,16.36666667,0.16809312,true,true,true,2
ALBL-87844eb828b520c40f25c1c11d6bfe17d5bac7ac4cee3d7db6c8c804e9846918,Athree,source_artist_label_not_externally_identity_verified,35,23,114,71.95000000,114,52,52.00000000,52,19.95000000,0.27727589,true,true,true,0
ALBL-29edcc95c78a492fbc8302b407068f19b3893ba409c59671efface165df6f8e5,Ayo97,source_artist_label_not_externally_identity_verified,8,8,11,10.00000000,11,9,9.00000000,9,1.00000000,0.10000000,false,false,false,0
ALBL-082eac9b47608ea3feaa48cf11852315175f54c199dc7b8e105f80cb868748e1,BeCareful,source_artist_label_not_externally_identity_verified,4,3,5,4.50000000,5,4,4.00000000,4,0.50000000,0.11111111,false,false,false,0
ALBL-9ec1ed5ae5429ec3c201bc8de841504a2e5b413a06a3aa8a963d94108be06e95,Blow Fever,source_artist_label_not_externally_identity_verified,27,27,116,102.83333333,116,99,99.00000000,99,3.83333333,0.03727715,true,true,true,0
ALBL-9dfbe06f93041cb9bf5f5aa68c56ce9379af282b898eed75115c36908988f75d,BossWang,source_artist_label_not_externally_identity_verified,18,15,62,55.76666667,62,53,53.00000000,53,2.76666667,0.04961148,true,true,true,0
ALBL-384aae7e6af5b9f5c29a1490f2571f3122bf1b0a79e0f2fd2c25a9e13c64877b,Break-D,source_artist_label_not_externally_identity_verified,4,4,5,5.00000000,5,5,5.00000000,5,0.00000000,0.00000000,false,false,false,0
ALBL-fc83eb0c2b9caf7b6655f612f98b6c57a3a90e33dadb1e65cb5c8eaae604cd5a,Bridge,source_artist_label_not_externally_identity_verified,41,25,169,100.75000000,169,63,63.00000000,63,37.75000000,0.37468983,true,true,true,1
ALBL-851b250b2304762b91768b5123950704538062116628ddfaa11d82ce5c5be520,Busta Z,source_artist_label_not_externally_identity_verified,33,30,92,77.83333333,92,71,71.00000000,71,6.83333333,0.08779443,true,true,true,1
ALBL-3516aca92330ace937d4d66d19489d317129d236c505c76c829d30f582c702ec,C-Block,source_artist_label_not_externally_identity_verified,46,44,148,138.50000000,148,133,133.00000000,133,5.50000000,0.03971119,true,true,true,1
ALBL-58317e7308fa764165b4d6a3ef2e233753924b1bb3544048ceb57650a8fa89cb,C-Low,source_artist_label_not_externally_identity_verified,39,32,84,76.08333333,84,71,71.00000000,71,5.08333333,0.06681271,true,true,true,0
ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc,CJ BAda$$ (希介),source_artist_label_not_externally_identity_verified,32,29,101,95.83333333,101,91,91.00000000,91,4.83333333,0.05043478,true,true,true,2
ALBL-17684bc3770d1aec5c2bd652a8807086eae2d17921537773d7065a03fe954aab,Capper,source_artist_label_not_externally_identity_verified,39,30,272,249.50000000,272,232,232.00000000,232,17.50000000,0.07014028,true,true,true,3
ALBL-7749a2f08aef7a04a3186c81bc94103aee823322d406de047e42d2db36375364,Cayden,source_artist_label_not_externally_identity_verified,7,5,24,13.50000000,24,8,8.00000000,8,5.50000000,0.40740741,false,false,false,0
ALBL-d716b18c66c85254008107b9f4754f5399b26bb2661d38b3cc06cd9056dddb53,CoupleHunnidTime,source_artist_label_not_externally_identity_verified,4,3,19,16.33333333,19,15,15.00000000,15,1.33333333,0.08163265,false,false,false,0
ALBL-23cc9ad5656ade82d0585fba15746eec8fbcbb8ecbcd883d7fc885d404d1478b,Cream D,source_artist_label_not_externally_identity_verified,22,18,67,51.17857143,67,43,43.00000000,43,8.17857143,0.15980461,true,true,true,0
ALBL-5df3b41d45a211caed7ddd24c3951c2e6837ab2f5322ab023300850d02ea1a5e,DBL.D,source_artist_label_not_externally_identity_verified,14,12,36,27.50000000,36,23,23.00000000,23,4.50000000,0.16363636,true,true,true,0
ALBL-e72e4ade8d97665aa4a2256764cb353dfa64deccf822922b70f06d7ee29f3c94,Dirty Twinz,source_artist_label_not_externally_identity_verified,21,14,52,33.17857143,52,23,23.00000000,23,10.17857143,0.30678149,true,true,true,0
ALBL-7f9d51b2153da108c09e27e39e0e3563c5aac119a896eeb929e827f8f1bea542,FAC-D12,source_artist_label_not_externally_identity_verified,29,26,36,32.83333333,36,31,31.00000000,31,1.83333333,0.05583756,true,true,true,0
ALBL-1f7fed06b8efb360d17055fb5863e54d09a25560e048c3bf2ee01153da3c93c4,G Sauce,source_artist_label_not_externally_identity_verified,40,37,54,47.00000000,54,41,41.00000000,41,6.00000000,0.12765957,true,true,true,2
ALBL-cb7c78d5d00ac7147de7b814ebde9ef47d47e7961b8df535b0628bb71e594071,GAI,source_artist_label_not_externally_identity_verified,45,35,157,131.25000000,157,112,112.00000000,112,19.25000000,0.14666667,true,true,true,2
ALBL-b531a8de7a6d0c34b19b787255885398b63fd4b92d8984404c6d5271f7d268f1,GALI,source_artist_label_not_externally_identity_verified,49,41,101,77.41666667,101,61,61.00000000,61,16.41666667,0.21205597,true,true,true,1
ALBL-b13d2c09b86f4e5afd7d5e0ed5496d8f08e8c5438ad84a7f3e398ab3d030f5e5,GNS耀耀,source_artist_label_not_externally_identity_verified,14,13,32,31.50000000,32,31,31.00000000,31,0.50000000,0.01587302,true,true,true,0
ALBL-b8557601edc484332b5e016a21d4bbb0916313ae828752e757fc70bab4e86dd4,Ghost Crew,source_artist_label_not_externally_identity_verified,44,44,95,95.00000000,95,95,95.00000000,95,0.00000000,0.00000000,true,true,true,2
