metric,value,interpretation
comparison_population_policy,canonical_artist_title_comparison_eligible=true,source-label centroids exclude songs marked ineligible for artist/title comparison by the canonical metadata contract
comparison_duplicate_weight_policy,within_metadata_eligible_population_exact_clean_text_hash_total_mass_one,"within the filtered comparison population, each exact clean-text hash has total duplicate-control mass one"
pre_filter_clean_lyric_chunks,21553,active clean-text chunks before the conservative comparison-eligibility filter
comparison_ineligible_clean_chunks_excluded,207,active clean-text chunks excluded because their songs are not eligible for artist/title comparison
pre_filter_clean_songs,7206,songs with active clean text before the conservative comparison-eligibility filter
pre_filter_source_artist_labels,241,source artist labels before the conservative comparison-eligibility filter
comparison_ineligible_songs_excluded,77,songs excluded because their canonical artist/title comparison eligibility is false
comparison_unique_clean_text_groups,18383,exact clean-text groups after the comparison-eligibility filter
comparison_effective_text_mass,18383.00000000,sum of recomputed comparison-population duplicate-control weights; exactly one unit per retained exact clean-text group
clean_lyric_chunks,21346,active clean-text analytic population
clean_songs,7129,songs with at least one active clean lyric chunk
source_artist_labels,240,source labels; not externally verified identities
graph_eligible_labels,204,at least 5 clean songs and 20 effective-text mass in both primary and shared-text-exclusion representations
shared_cross_label_clean_text_hashes,2179,exact clean text used under more than one source artist label
shared_cross_label_chunk_rows,5139,active clean chunks removed in shared-text-exclusion sensitivity
shared_cross_label_effective_text_mass,2179.00000000,comparison-population duplicate-controlled mass removed in sensitivity
primary_mutual_top_k_edges,140,mutual top-5 primary neighbours before sensitivity gate
sensitivity_mutual_top_k_edges,145,mutual top-5 neighbours after shared-text exclusion
stable_retained_edges,86,edges retained by both mutual-neighbour tests
mutual_edge_jaccard_overlap,0.43216080,sensitivity agreement; not a confidence probability
semantic_projection_population,204,all graph-eligible labels represented in the 2D semantic PCA display
semantic_projection_variance_explained_2d,0.26195959,consensus-vector variation represented by the two displayed semantic PCA axes
connected_stable_graph_nodes,93,eligible labels with at least one retained lyrical-repertoire edge
