edge_key,artist_label_id_a,artist_label_id_b,dominant_signal,interpretation_state,plain_evidence,language_percentile,line_ending_percentile,form_percentile,support_bucket
ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07|ALBL-6470d1206d77a5344903490c8022085d5434995cb18f11140acf297a51a4c0f7,ALBL-6470d1206d77a5344903490c8022085d5434995cb18f11140acf297a51a4c0f7,ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07,semanticOnly,semantic-only,,42.4,78.2,29.8,20-39 songs
ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07|ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07,ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,form,supported,Similar writing-form profile: low repeated-line use | Shared characteristic language: 享受,98.1,63.2,99.0,20-39 songs
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9|ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9,ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9,ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9,language,supported,"Shared characteristic language: 男孩, 关系, 电影",95.2,55.8,82.5,40+ songs
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9|ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab,ALBL-a544a6bae8dc3a039e1a6690236454a235ec489b230bb6188381cf8018131cab,ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9,semanticOnly,semantic-only,,42.4,74.3,84.6,20-39 songs
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9|ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9,ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,language,supported,"Shared characteristic language: 陪伴, 开心, 生命",95.9,83.1,97.2,40+ songs
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404|ALBL-1f58a6ffe8bece560a2d7cd3f95b1c5fedac73381c77a301c279e6c79036b7f0,ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,ALBL-1f58a6ffe8bece560a2d7cd3f95b1c5fedac73381c77a301c279e6c79036b7f0,language,supported,"Shared characteristic language: 老子, 保证, 成都",98.9,33.4,87.3,20-39 songs
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404|ALBL-591263eefafdb52e5702e00434d710421ec77268e1974ea65c6faf003f8b94b8,ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,ALBL-591263eefafdb52e5702e00434d710421ec77268e1974ea65c6faf003f8b94b8,language,supported,"Shared characteristic language: 娃儿, 老子, 晓得, 创造",99.7,42.2,11.1,40+ songs
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404|ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,language,supported,"Shared characteristic language: 娃儿, 老子, 晓得, 不得",99.8,55.5,22.2,20-39 songs
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e|ALBL-45fb690b1fa5ef0d23dbeb44ff194f49e6899ee138d850ccb0f8ca44cf44f801,ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,ALBL-45fb690b1fa5ef0d23dbeb44ff194f49e6899ee138d850ccb0f8ca44cf44f801,language,supported,Shared characteristic language: 等待,91.4,78.7,45.2,20-39 songs
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e|ALBL-653f823573f2940bf2c73dfbdb26faef76f3062d797274a12eade0e8fd765269,ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,ALBL-653f823573f2940bf2c73dfbdb26faef76f3062d797274a12eade0e8fd765269,semanticOnly,semantic-only,,42.4,73.9,66.1,20-39 songs
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e|ALBL-93a39f5d64d4b1cd045f2ea90c301f10cfa84e6cb7474f61bb8f90b8b551a8bb,ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,ALBL-93a39f5d64d4b1cd045f2ea90c301f10cfa84e6cb7474f61bb8f90b8b551a8bb,language,supported,Shared characteristic language: 等待,91.1,77.4,21.9,20-39 songs
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e|ALBL-b8557601edc484332b5e016a21d4bbb0916313ae828752e757fc70bab4e86dd4,ALBL-b8557601edc484332b5e016a21d4bbb0916313ae828752e757fc70bab4e86dd4,ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,language,supported,"Shared characteristic language: 伤口, 留在, 力量",96.0,73.9,74.0,20-39 songs
