null_model,overlap_edges,replicates,probability
degree_preserving_edge_swap,0,89,0.00890000
degree_preserving_edge_swap,1,436,0.04360000
degree_preserving_edge_swap,2,1032,0.10320000
degree_preserving_edge_swap,3,1705,0.17050000
degree_preserving_edge_swap,4,1973,0.19730000
degree_preserving_edge_swap,5,1839,0.18390000
degree_preserving_edge_swap,6,1306,0.13060000
degree_preserving_edge_swap,7,799,0.07990000
degree_preserving_edge_swap,8,471,0.04710000
degree_preserving_edge_swap,9,214,0.02140000
degree_preserving_edge_swap,10,92,0.00920000
degree_preserving_edge_swap,11,31,0.00310000
degree_preserving_edge_swap,12,12,0.00120000
degree_preserving_edge_swap,13,1,0.00010000
source_label_permutation,0,37463,0.37463000
source_label_permutation,1,36910,0.36910000
source_label_permutation,2,18017,0.18017000
source_label_permutation,3,5879,0.05879000
source_label_permutation,4,1426,0.01426000
source_label_permutation,5,252,0.00252000
source_label_permutation,6,50,0.00050000
source_label_permutation,7,2,0.00002000
source_label_permutation,8,0,0.00000000
source_label_permutation,9,1,0.00001000
