label_a,label_b,bootstrap_frequency,dominant_explanation,passing_signals
张雪飞,新街口组合,0.712,language,language+form
Capper,孔令奇,0.704,language,language
G Sauce,Rich4ever,0.704,language,language
APMOZART,MULA SAKEE,0.680,language,language
Capper,乃万,0.668,form,form
Jarstick,杀手耗,0.624,lineEnding,lineEnding
徐真真,梁老师Tsong,0.620,language,language
班比 Bambii,马思唯,0.616,semanticOnly,none
YoungChigga,默示船政,0.604,semanticOnly,none
GAI,胡彦斌 TIGER HU,0.572,form,form+language
APMOZART,离合,0.556,language,language
李大奔BENZO,马思唯,0.544,semanticOnly,none
李大奔BENZO,班比 Bambii,0.532,semanticOnly,none
刘柄鑫,张昊,0.520,language,language
APMOZART,KITO,0.504,language,language
Capper,艾福杰尼,0.500,semanticOnly,none
