edge_key,two_representation_edge_probability,primary_mutual_probability,sensitivity_mutual_probability,bootstrap_band
ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0|ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,0.712000,0.712000,0.764000,moderate
ALBL-17684bc3770d1aec5c2bd652a8807086eae2d17921537773d7065a03fe954aab|ALBL-2b47111c3ae429f7fd49243653f4b70387bf44642bbb3d8c30fd5cc8b8063b34,0.704000,0.708000,0.820000,moderate
ALBL-1f7fed06b8efb360d17055fb5863e54d09a25560e048c3bf2ee01153da3c93c4|ALBL-7e9a60002d7d27bc747175d30b340b7dc85f9fd3a264c05f42b5130737e9af57,0.704000,0.940000,0.712000,moderate
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404|ALBL-591263eefafdb52e5702e00434d710421ec77268e1974ea65c6faf003f8b94b8,0.680000,0.696000,0.736000,moderate
ALBL-17684bc3770d1aec5c2bd652a8807086eae2d17921537773d7065a03fe954aab|ALBL-b54a07b05128f5872fa2d2cafea41ad88da5df11665216730e41d3f0d57f30ff,0.668000,0.684000,0.736000,moderate
ALBL-d7bb01eb8d746f1f9d0a1c46bb8ab67c980a36f3fbbdf2d4671c7ce7e040539c|ALBL-df36480d1c39db0bd7c57e8729258ffe1f0e03d719943c6ade41e38e9f4c0dcd,0.624000,0.640000,0.784000,moderate
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9|ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9,0.620000,0.680000,0.688000,moderate
ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8|ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf,0.616000,0.652000,0.724000,moderate
ALBL-ec1a6a5ce2ff06a97a913a555309205d1ec638937f61e263acda0f10b28e85aa|ALBL-ecfef7f6f92be0e12b16b1883492c5074fcebcc87b380e577cea3d43f25ef6df,0.604000,0.608000,0.744000,moderate
ALBL-a969c82d8811c619b763ab618ec5363279fb26d32c93efeed133750060e06d93|ALBL-cb7c78d5d00ac7147de7b814ebde9ef47d47e7961b8df535b0628bb71e594071,0.572000,0.644000,0.588000,moderate
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404|ALBL-1f58a6ffe8bece560a2d7cd3f95b1c5fedac73381c77a301c279e6c79036b7f0,0.556000,0.628000,0.608000,moderate
ALBL-19e6d081ff62ae40b3e88e22cef1e5d0ec872a8e6f3866590efc6d45eb909d16|ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf,0.544000,0.700000,0.580000,moderate
ALBL-19e6d081ff62ae40b3e88e22cef1e5d0ec872a8e6f3866590efc6d45eb909d16|ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,0.532000,0.580000,0.628000,moderate
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e|ALBL-45fb690b1fa5ef0d23dbeb44ff194f49e6899ee138d850ccb0f8ca44cf44f801,0.520000,0.712000,0.532000,moderate
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404|ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,0.504000,0.512000,0.676000,moderate
ALBL-17684bc3770d1aec5c2bd652a8807086eae2d17921537773d7065a03fe954aab|ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,0.500000,0.548000,0.592000,moderate
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e|ALBL-653f823573f2940bf2c73dfbdb26faef76f3062d797274a12eade0e8fd765269,0.468000,0.500000,0.612000,low
ALBL-ad0e4d83b1b91dd8dca2501c10a40db6acf0f405e34f11babd92198f6135a8f4|ALBL-b531a8de7a6d0c34b19b787255885398b63fd4b92d8984404c6d5271f7d268f1,0.464000,0.528000,0.520000,low
ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a|ALBL-f17a363490fbf411d96b103d956dc0fa2f5ffeed1ce475e10c0db695c00b516d,0.448000,0.492000,0.512000,low
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e|ALBL-b8557601edc484332b5e016a21d4bbb0916313ae828752e757fc70bab4e86dd4,0.436000,0.464000,0.488000,low
ALBL-45fb690b1fa5ef0d23dbeb44ff194f49e6899ee138d850ccb0f8ca44cf44f801|ALBL-cf2f15a296686c84d839bd68c5e7f9f4aa3c7531a3115b6d11bb4422a06a2037,0.436000,0.520000,0.456000,low
ALBL-cb7c78d5d00ac7147de7b814ebde9ef47d47e7961b8df535b0628bb71e594071|ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,0.428000,0.548000,0.440000,low
ALBL-2f8b2ec6bcd75a5e76215bbd5e2e95d25bed68c81acf7ea38f86e111ac5ced35|ALBL-ebe5f9209243e8cc0730f985167ab1298e9e6b87f738cbdaaa2789cd93dc9812,0.424000,0.448000,0.524000,low
ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b|ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,0.408000,0.416000,0.456000,low
ALBL-1f7fed06b8efb360d17055fb5863e54d09a25560e048c3bf2ee01153da3c93c4|ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,0.396000,0.408000,0.520000,low
ALBL-19e6d081ff62ae40b3e88e22cef1e5d0ec872a8e6f3866590efc6d45eb909d16|ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,0.376000,0.484000,0.412000,low
