artist_label_id,source_artist_label,label_attribution_status,eligible_song_count,eligible_written_line_occurrence_count,dominant_written_rhyme_family,dominant_family_share,adjacent_same_family_rate,local_four_line_family_echo_rate,local_echo_lift_over_iid_frequency_expectation,two_syllable_pattern_local_echo_rate,share_of_lines_in_adjacent_runs_of_two_or_more,normalised_family_entropy
ALBL-0261b0368c5af1b8ccdaeccbab00785624e008ac644429d8d84947f16a8e1246,Six City,source_artist_label_not_externally_identity_verified,5,295,I,0.172881,0.378947,0.515789,2.217669,0.333333,0.183051,0.938359
ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07,王以太,source_artist_label_not_externally_identity_verified,24,1214,I,0.171334,0.46487,0.629451,2.471542,0.407122,0.599671,0.919148
ALBL-05fe1effba76833f120b714fd0141df46b7970d83c822c8a91201585ff6bb5ea,王嘉尔,source_artist_label_not_externally_identity_verified,11,210,I,0.152381,0.430556,0.548611,2.5521,0.1875,0.514286,0.899479
ALBL-0828f126ccf0c88bdf414c410611374063d1ab6c756389b0c253efbbab6dcd4d,福克斯,source_artist_label_not_externally_identity_verified,40,2797,I,0.13729,0.514427,0.690964,2.788679,0.299201,0.675724,0.943218
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9,徐真真,source_artist_label_not_externally_identity_verified,42,2072,I,0.173263,0.524943,0.641156,2.585245,0.331442,0.659266,0.917386
ALBL-0a1a532fbfe9b4e01ba4d08dc1af1a73c305efb613a891a1b1339cbc2ef41bdc,隐藏,source_artist_label_not_externally_identity_verified,9,1211,I,0.104872,0.58213,0.689531,2.972054,0.391304,0.769612,0.961501
ALBL-0b0fe4f2cc23badddb1c1ebb33c22cc45c6f41924b2d4b3172d8625fc7f6e4b2,天府事变CDREV,source_artist_label_not_externally_identity_verified,38,2151,I,0.139935,0.42132,0.608009,2.563067,0.21562,0.527662,0.937239
ALBL-0b85ce543a1bd0918047e0b04b3122ff8c8ac71a59f415e4b7185b7267f32139,jinjibewater,source_artist_label_not_externally_identity_verified,21,884,AN,0.126697,0.421203,0.565903,2.825249,0.254335,0.497738,0.947984
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,APMOZART,source_artist_label_not_externally_identity_verified,45,1293,I,0.208043,0.470361,0.543814,2.644399,0.336774,0.434648,0.926791
ALBL-0d10d90fcd6f9613167e94880a655155a1e2d6351e228824fcf59988dfbdd8f6,多雷 Swang,source_artist_label_not_externally_identity_verified,39,2746,I,0.143481,0.46798,0.633826,2.606097,0.358141,0.596868,0.935366
ALBL-0e0e8e661f2739ca41959d3626f404f85140a2cbdc6d8ed229931879550ab46e,刘柄鑫,source_artist_label_not_externally_identity_verified,30,1974,AN,0.155015,0.452432,0.594595,2.311816,0.345109,0.657042,0.92956
ALBL-0fad1a0628b44667e6d7ea5400c1265783ad07b0e8a6f5e211f741bc5456eff8,国蛋,source_artist_label_not_externally_identity_verified,36,2159,I,0.162112,0.478978,0.648217,2.621606,0.409792,0.603057,0.924913
ALBL-1136c276f991eb3cba877aef2044b57a9b940feb6a4d3695540916113c5aafd5,弹壳,source_artist_label_not_externally_identity_verified,10,332,O,0.135542,0.440741,0.577778,2.391663,0.262963,0.557229,0.901045
ALBL-11f90a8c55fbe0699911c1c19ab4046d0a93a992a97ac914cf60449351307a39,梁维嘉,source_artist_label_not_externally_identity_verified,32,2410,I,0.173029,0.523583,0.635541,2.666533,0.304907,0.711618,0.941645
ALBL-1347d8cb47ac4267756940fe68d3c6c4fc79c584d4f4a8b7761c7981696c39c2,冲天小火煎,source_artist_label_not_externally_identity_verified,17,835,I,0.183234,0.455975,0.575472,2.516094,0.219589,0.552096,0.932883
ALBL-1753897f8c66389b862ec914699598c03d64c509e330ce87a7421c9325a0ac9f,TOYOKI,source_artist_label_not_externally_identity_verified,35,1357,I,0.146647,0.45975,0.60644,2.546122,0.255376,0.576271,0.93076
ALBL-17684bc3770d1aec5c2bd652a8807086eae2d17921537773d7065a03fe954aab,Capper,source_artist_label_not_externally_identity_verified,28,1270,I,0.140945,0.535714,0.654762,3.580776,0.337725,0.544094,0.935404
ALBL-17a705471f9603aa36a32eccd5a72e57b03ee08200a8ee9b075466924284be0d,義胜合,source_artist_label_not_externally_identity_verified,12,686,I,0.150146,0.551562,0.676562,2.33797,0.342187,0.731778,0.902788
ALBL-1966ab7fbcd7e029e5d23d46e16dd169141761a81c9ccb7ad58233a524454fd5,红狼,source_artist_label_not_externally_identity_verified,13,741,AN,0.116059,0.486111,0.657986,2.820819,0.28125,0.538462,0.934129
ALBL-1977978993b2949e4425ba3d1e00a27af4ff44e6123be893f0fff6439f76e7e3,雾都 (Wudu Montana),source_artist_label_not_externally_identity_verified,21,1937,I,0.154362,0.478184,0.635613,2.707362,0.348109,0.602994,0.940808
