model,stratum_dimension,stratum_value,eligible_event_count,song_count,top1_accuracy,top3_accuracy,mrr
global_frequency,transition_type,continuation,16926,783,0.153905,0.339419,0.328305
global_frequency,transition_type,switch,17469,781,0.137558,0.31719,0.299762
global_frequency,prior_run_bucket,1,19878,787,0.149411,0.33278,0.31454
global_frequency,prior_run_bucket,2,7277,770,0.141404,0.320324,0.311163
global_frequency,prior_run_bucket,3,3341,722,0.131398,0.316073,0.307614
global_frequency,prior_run_bucket,4_plus,3899,604,0.146191,0.329315,0.320316
global_frequency,position_bucket,opening_2_to_4,10597,785,0.145419,0.316505,0.309683
global_frequency,position_bucket,developing_5_to_12,11999,750,0.144512,0.331028,0.313796
global_frequency,position_bucket,later_13_plus,11799,523,0.146877,0.335622,0.317525
global_frequency,target_is_repeat_within_label_song,False,28147,787,0.14943,0.337265,0.319268
global_frequency,target_is_repeat_within_label_song,True,6248,588,0.128361,0.286972,0.289208
first_order_markov,transition_type,continuation,16926,783,0.992024,1.0,0.996012
first_order_markov,transition_type,switch,17469,781,0.015513,0.302307,0.232701
first_order_markov,prior_run_bucket,1,19878,787,0.428564,0.60162,0.557103
first_order_markov,prior_run_bucket,2,7277,770,0.53566,0.668132,0.637194
first_order_markov,prior_run_bucket,3,3341,722,0.706675,0.790482,0.772002
first_order_markov,prior_run_bucket,4_plus,3899,604,0.585791,0.704027,0.675386
first_order_markov,position_bucket,opening_2_to_4,10597,785,0.532509,0.67538,0.638057
first_order_markov,position_bucket,developing_5_to_12,11999,750,0.48329,0.638303,0.59879
first_order_markov,position_bucket,later_13_plus,11799,523,0.476312,0.626409,0.591337
first_order_markov,target_is_repeat_within_label_song,False,28147,787,0.487725,0.638683,0.6014
first_order_markov,target_is_repeat_within_label_song,True,6248,588,0.533611,0.677017,0.639558
flat_sgd_logistic_context,transition_type,continuation,16926,783,0.9756,1.0,0.987495
flat_sgd_logistic_context,transition_type,switch,17469,781,0.035377,0.397046,0.278608
flat_sgd_logistic_context,prior_run_bucket,1,19878,787,0.431784,0.679646,0.58822
flat_sgd_logistic_context,prior_run_bucket,2,7277,770,0.535523,0.67734,0.640362
flat_sgd_logistic_context,prior_run_bucket,3,3341,722,0.707872,0.801556,0.776221
flat_sgd_logistic_context,prior_run_bucket,4_plus,3899,604,0.586304,0.704027,0.675924
flat_sgd_logistic_context,position_bucket,opening_2_to_4,10597,785,0.536661,0.713504,0.654321
flat_sgd_logistic_context,position_bucket,developing_5_to_12,11999,750,0.484457,0.686141,0.617697
flat_sgd_logistic_context,position_bucket,later_13_plus,11799,523,0.477244,0.683787,0.613251
flat_sgd_logistic_context,target_is_repeat_within_label_song,False,28147,787,0.488827,0.68224,0.618281
flat_sgd_logistic_context,target_is_repeat_within_label_song,True,6248,588,0.539693,0.745679,0.668787
hierarchical_sgd_context,transition_type,continuation,16926,783,0.985289,0.999941,0.992551
hierarchical_sgd_context,transition_type,switch,17469,781,0.026447,0.400366,0.275106
hierarchical_sgd_context,prior_run_bucket,1,19878,787,0.431532,0.681256,0.588647
hierarchical_sgd_context,prior_run_bucket,2,7277,770,0.537034,0.679263,0.64226
hierarchical_sgd_context,prior_run_bucket,3,3341,722,0.708471,0.80425,0.777665
hierarchical_sgd_context,prior_run_bucket,4_plus,3899,604,0.586304,0.70454,0.675232
hierarchical_sgd_context,position_bucket,opening_2_to_4,10597,785,0.535906,0.715391,0.654395
hierarchical_sgd_context,position_bucket,developing_5_to_12,11999,750,0.485124,0.68514,0.618267
hierarchical_sgd_context,position_bucket,later_13_plus,11799,523,0.477922,0.68794,0.614674
hierarchical_sgd_context,target_is_repeat_within_label_song,False,28147,787,0.490034,0.682702,0.619108
hierarchical_sgd_context,target_is_repeat_within_label_song,True,6248,588,0.535531,0.752721,0.668967
hierarchical_sgd_no_source_label,transition_type,continuation,16926,783,0.983103,0.999941,0.991487
hierarchical_sgd_no_source_label,transition_type,switch,17469,781,0.027763,0.39905,0.275201
hierarchical_sgd_no_source_label,prior_run_bucket,1,19878,787,0.431231,0.680602,0.588477
hierarchical_sgd_no_source_label,prior_run_bucket,2,7277,770,0.535935,0.680638,0.640907
hierarchical_sgd_no_source_label,prior_run_bucket,3,3341,722,0.708471,0.80006,0.776805
hierarchical_sgd_no_source_label,prior_run_bucket,4_plus,3899,604,0.586304,0.703001,0.675168
hierarchical_sgd_no_source_label,position_bucket,opening_2_to_4,10597,785,0.535057,0.714259,0.65353
hierarchical_sgd_no_source_label,position_bucket,developing_5_to_12,11999,750,0.484624,0.685724,0.618013
hierarchical_sgd_no_source_label,position_bucket,later_13_plus,11799,523,0.478007,0.686414,0.614324
hierarchical_sgd_no_source_label,target_is_repeat_within_label_song,False,28147,787,0.489573,0.682417,0.61862
hierarchical_sgd_no_source_label,target_is_repeat_within_label_song,True,6248,588,0.535371,0.75032,0.668553
